ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000242441	11036	GTF2A1L	general transcription factor IIA subunit 1 like
ENSG00000242485	55052	MRPL20	mitochondrial ribosomal protein L20
ENSG00000242498	348110	ARPIN	actin-related protein 2/3 complex inhibitor
ENSG00000242512	100996490	LINC01206	long intergenic non-protein coding RNA 1206
ENSG00000242515	54575	UGT1A10	UDP glucuronosyltransferase family 1 member A10
ENSG00000242516	401074	LINC00960	long intergenic non-protein coding RNA 960
ENSG00000242522	100874019	KLHL6-AS1	KLHL6 antisense RNA 1
ENSG00000242550	5273	SERPINB10	serpin family B member 10
ENSG00000242574	3109	HLA-DMB	major histocompatibility complex, class II, DM beta
ENSG00000242599	100130935	CSAG4	CSAG family member 4 (pseudogene)
ENSG00000242600	8512	MBL1P	mannose binding lectin 1, pseudogene
ENSG00000242612	26063	DECR2	2,4-dienoyl-CoA reductase 2
ENSG00000242616	2790	GNG10	G protein subunit gamma 10
ENSG00000242641	440970	LINC00971	long intergenic non-protein coding RNA 971
ENSG00000242671	101927866	LINC02010	long intergenic non-protein coding RNA 2010
ENSG00000242686	101928521	LOC101928521	uncharacterized LOC101928521
ENSG00000242687	101927550	LOC101927550	uncharacterized LOC101927550
ENSG00000242689	1270	CNTF	ciliary neurotrophic factor
ENSG00000242715	728591	CCDC169	coiled-coil domain containing 169
ENSG00000242732	340526	RTL5	retrotransposon Gag like 5
ENSG00000242759	100302640	LINC00882	long intergenic non-protein coding RNA 882
ENSG00000242767	100874131	ZBTB20-AS4	ZBTB20 antisense RNA 4
ENSG00000242779	79986	ZNF702P	zinc finger protein 702, pseudogene
ENSG00000242802	9907	AP5Z1	adaptor related protein complex 5 zeta 1 subunit
ENSG00000242808	347689	SOX2-OT	SOX2 overlapping transcript
ENSG00000242852	163051	ZNF709	zinc finger protein 709
ENSG00000242866	161497	STRC	stereocilin
ENSG00000242875	378948	RBMY1B	RNA binding motif protein, Y-linked, family 1, member B
ENSG00000242925	100874036	PLCH1-AS2	PLCH1 antisense RNA 2
ENSG00000242950	30816	ERVW-1	endogenous retrovirus group W member 1
ENSG00000242973	101926934	LOC101926934	uncharacterized LOC101926934
ENSG00000243040	159162	RBMY2FP	RNA binding motif protein, Y-linked, family 2, member F pseudogene
ENSG00000243056	8637	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3
ENSG00000243062	148753	FAM163A	family with sequence similarity 163 member A
ENSG00000243064	150000	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
ENSG00000243069	100507524	ARHGEF26-AS1	ARHGEF26 antisense RNA 1
ENSG00000243073	400735	PRAMEF4	PRAME family member 4
ENSG00000243083	201617	LINC00870	long intergenic non-protein coding RNA 870
ENSG00000243130	5680	PSG11	pregnancy specific beta-1-glycoprotein 11
ENSG00000243135	54659	UGT1A3	UDP glucuronosyltransferase family 1 member A3
ENSG00000243137	5672	PSG4	pregnancy specific beta-1-glycoprotein 4
ENSG00000243147	9553	MRPL33	mitochondrial ribosomal protein L33
ENSG00000243150	100996447	LOC100996447	uncharacterized LOC100996447
ENSG00000243156	57553	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3
ENSG00000243207	692312	PPAN-P2RY11	PPAN-P2RY11 readthrough
ENSG00000243224	101929054	LOC101929054	uncharacterized LOC101929054
ENSG00000243232	56134	PCDHAC2	protocadherin alpha subfamily C, 2
ENSG00000243244	11037	STON1	stonin 1
ENSG00000243251	267004	PGBD3	piggyBac transposable element derived 3
ENSG00000243279	11230	PRAF2	PRA1 domain family member 2
ENSG00000243284	391123	VSIG8	V-set and immunoglobulin domain containing 8
ENSG00000243316	390003	GUCY2GP	guanylate cyclase 2G, pseudogene
ENSG00000243317	647087	C7orf73	chromosome 7 open reading frame 73
ENSG00000243319	283480	FGF14-IT1	FGF14 intronic transcript 1
ENSG00000243321	107986046	LINC01998	long intergenic non-protein coding RNA 1998
ENSG00000243323	148713	PTPRVP	protein tyrosine phosphatase, receptor type V, pseudogene
ENSG00000243335	154881	KCTD7	potassium channel tetramerization domain containing 7
ENSG00000243364	1945	EFNA4	ephrin A4
ENSG00000243406	100887750	MRPS31P5	mitochondrial ribosomal protein S31 pseudogene 5
ENSG00000243414	353376	TICAM2	toll like receptor adaptor molecule 2
ENSG00000243440	388813	LOC388813	uncharacterized protein ENSP00000383407-like
ENSG00000243444	114299	PALM2	paralemmin 2
ENSG00000243449	401115	C4orf48	chromosome 4 open reading frame 48
ENSG00000243468	27160	INGX	inhibitor of growth family, X-linked (pseudogene)
ENSG00000243477	24142	NAT6	N-acetyltransferase 6
ENSG00000243479	645249	MNX1-AS1	MNX1 antisense RNA 1 (head to head)
ENSG00000243480	279	AMY2A	amylase, alpha 2A (pancreatic)
ENSG00000243485	100302278	MIR1302-2	microRNA 1302-2
ENSG00000243489	386678	KRTAP10-11	keratin associated protein 10-11
ENSG00000243509	8771	TNFRSF6B	TNF receptor superfamily member 6b
ENSG00000243543	140870	WFDC6	WAP four-disulfide core domain 6
ENSG00000243566	105375355	UPK3B	uroplakin 3B
ENSG00000243593	101926983	LINC02049	long intergenic non-protein coding RNA 2049
ENSG00000243627	388820	LOC388820	putative uncharacterized protein LOC388820
ENSG00000243629	339894	LINC00880	long intergenic non-protein coding RNA 880
ENSG00000243641	81377	OR13C7	olfactory receptor family 13 subfamily C member 7 (gene/pseudogene)
ENSG00000243646	3588	IL10RB	interleukin 10 receptor subunit beta
ENSG00000243649	629	CFB	complement factor B
ENSG00000243667	116143	WDR92	WD repeat domain 92
ENSG00000243678	4831	NME2	NME/NM23 nucleoside diphosphate kinase 2
ENSG00000243694	728290	LINC02027	long intergenic non-protein coding RNA 2027
ENSG00000243701	344595	DUBR	DPPA2 upstream binding RNA
ENSG00000243708	100137049	PLA2G4B	phospholipase A2 group IVB
ENSG00000243709	10637	LEFTY1	left-right determination factor 1
ENSG00000243710	149465	CFAP57	cilia and flagella associated protein 57
ENSG00000243715	100874237	CACNA2D3-AS1	CACNA2D3 antisense RNA 1
ENSG00000243716	613037	NPIPB13	nuclear pore complex interacting protein family, member B13
ENSG00000243725	7268	TTC4	tetratricopeptide repeat domain 4
ENSG00000243729	81696	OR5V1	olfactory receptor family 5 subfamily V member 1
ENSG00000243742	113157	RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2
ENSG00000243749	100506144	TMEM35B	transmembrane protein 35B
ENSG00000243753	3139	HLA-L	major histocompatibility complex, class I, L (pseudogene)
ENSG00000243772	3804	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3
ENSG00000243775	202459	OSTCP1	oligosaccharyltransferase complex subunit pseudogene 1
ENSG00000243789	100137047	JMJD7	jumonji domain containing 7
ENSG00000243795	101929717	LINC02044	long intergenic non-protein coding RNA 2044
ENSG00000243811	140564	APOBEC3D	apolipoprotein B mRNA editing enzyme catalytic subunit 3D
ENSG00000243818	100507389	LOC100507389	uncharacterized LOC100507389
ENSG00000243832	100507210	LINC02000	long intergenic non-protein coding RNA 2000
ENSG00000243836	100131176	WDR86-AS1	WDR86 antisense RNA 1
ENSG00000243849	100874029	CFAP44-AS1	CFAP44 antisense RNA 1
ENSG00000243896	401427	OR2A7	olfactory receptor family 2 subfamily A member 7
ENSG00000243902	114794	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2
ENSG00000243910	80086	TUBA4B	tubulin alpha 4b
ENSG00000243927	64968	MRPS6	mitochondrial ribosomal protein S6
ENSG00000243943	84450	ZNF512	zinc finger protein 512
ENSG00000243953	105374171	LOC105374171	uncharacterized LOC105374171
ENSG00000243955	2938	GSTA1	glutathione S-transferase alpha 1
ENSG00000243978	57529	RTL9	retrotransposon Gag like 9
ENSG00000243989	95	ACY1	aminoacylase 1
ENSG00000244005	9054	NFS1	NFS1, cysteine desulfurase
ENSG00000244020	645745	MT1HL1	metallothionein 1H like 1
ENSG00000244025	337970	KRTAP19-3	keratin associated protein 19-3
ENSG00000244026	692099	FAM86DP	family with sequence similarity 86 member D, pseudogene
ENSG00000244038	1650	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
ENSG00000244040	101928376	IL12A-AS1	IL12A antisense RNA 1
ENSG00000244041	401232	LINC01011	long intergenic non-protein coding RNA 1011
ENSG00000244045	147007	TMEM199	transmembrane protein 199
ENSG00000244057	353144	LCE3C	late cornified envelope 3C
ENSG00000244067	2939	GSTA2	glutathione S-transferase alpha 2
ENSG00000244094	6705	SPRR2F	small proline rich protein 2F
ENSG00000244115	552891	DNAJC25-GNG10	DNAJC25-GNG10 readthrough
ENSG00000244122	54577	UGT1A7	UDP glucuronosyltransferase family 1 member A7
ENSG00000244161	105377105	FLNB-AS1	FLNB antisense RNA 1
ENSG00000244165	5032	P2RY11	purinergic receptor P2Y11
ENSG00000244184	101559451	LOC101559451	uncharacterized LOC101559451
ENSG00000244187	85014	TMEM141	transmembrane protein 141
ENSG00000244203	104502416	FOXP1-AS1	FOXP1 antisense RNA 1
ENSG00000244215	101927123	LINC02016	long intergenic non-protein coding RNA 2016
ENSG00000244219	100289187	TMEM225B	transmembrane protein 225B
ENSG00000244227	646168	LRRC77P	leucine rich repeat containing 77, pseudogene
ENSG00000244231	114758	CSPG4P1Y	chondroitin sulfate proteoglycan 4 pseudogene 1, Y-linked
ENSG00000244242	402778	IFITM10	interferon induced transmembrane protein 10
ENSG00000244247	105374244	LINC01995	long intergenic non-protein coding RNA 1995
ENSG00000244274	55861	DBNDD2	dysbindin domain containing 2
ENSG00000244280	347694	ECEL1P2	endothelin converting enzyme like 1 pseudogene 2
ENSG00000244302	101928790	PEX5L-AS2	PEX5L antisense RNA 2
ENSG00000244306	642477	LINC01296	long intergenic non-protein coding RNA 1296
ENSG00000244342	285401	LINC00698	long intergenic non-protein coding RNA 698
ENSG00000244355	58530	LY6G6D	lymphocyte antigen 6 family member G6D
ENSG00000244362	337974	KRTAP19-7	keratin associated protein 19-7
ENSG00000244383	105377108	FAM3D-AS1	FAM3D antisense RNA 1
ENSG00000244395	378949	RBMY1D	RNA binding motif protein, Y-linked, family 1, member D
ENSG00000244405	2119	ETV5	ETS variant 5
ENSG00000244411	440050	KRTAP5-7	keratin associated protein 5-7
ENSG00000244414	3078	CFHR1	complement factor H related 1
ENSG00000244462	10137	RBM12	RNA binding motif protein 12
ENSG00000244474	54657	UGT1A4	UDP glucuronosyltransferase family 1 member A4
ENSG00000244476	405754	ERVFRD-1	endogenous retrovirus group FRD member 1
ENSG00000244482	79168	LILRA6	leukocyte immunoglobulin like receptor A6
ENSG00000244486	91179	SCARF2	scavenger receptor class F member 2
ENSG00000244502	100874101	HDAC11-AS1	HDAC11 antisense RNA 1
ENSG00000244509	27350	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C
ENSG00000244537	85291	KRTAP4-2	keratin associated protein 4-2
ENSG00000244541	101927992	LINC01213	long intergenic non-protein coding RNA 1213
ENSG00000244560	155060	LOC155060	AI894139 pseudogene
ENSG00000244578	103344930	LINC01391	long intergenic non-protein coding RNA 1391
ENSG00000244588	642636	RAD21L1	RAD21 cohesin complex component like 1
ENSG00000244607	152206	CCDC13	coiled-coil domain containing 13
ENSG00000244617	151516	ASPRV1	aspartic peptidase, retroviral-like 1
ENSG00000244623	81392	OR2AE1	olfactory receptor family 2 subfamily AE member 1
ENSG00000244624	337975	KRTAP20-1	keratin associated protein 20-1
ENSG00000244681	100287639	MTHFD2P1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase pseudogene 1
ENSG00000244687	7335	UBE2V1	ubiquitin conjugating enzyme E2 V1
ENSG00000244693	100142659	CTAGE8	CTAGE family member 8
ENSG00000244694	442213	PTCHD4	patched domain containing 4
ENSG00000244731	720	C4A	complement C4A (Rodgers blood group)
ENSG00000244734	3043	HBB	hemoglobin subunit beta
ENSG00000244752	1415	CRYBB2	crystallin beta B2
ENSG00000244754	10443	N4BP2L2	NEDD4 binding protein 2 like 2
ENSG00000244791	101927657	LOC101927657	uncharacterized LOC101927657
ENSG00000244879	100616396	MIR4712	microRNA 4712
ENSG00000244926	100507300	ALKBH3-AS1	ALKBH3 antisense RNA 1
ENSG00000244945	101928445	LOC101928445	uncharacterized LOC101928445
ENSG00000244968	100506495	LIFR-AS1	LIFR antisense RNA 1
ENSG00000245008	101929538	LOC101929538	uncharacterized LOC101929538
ENSG00000245017	643770	LOC643770	uncharacterized LOC643770
ENSG00000245025	107986927	LOC107986927	uncharacterized LOC107986927
ENSG00000245060	729678	LINC00847	long intergenic non-protein coding RNA 847
ENSG00000245067	255130	IGFBP7-AS1	IGFBP7 antisense RNA 1
ENSG00000245080	100500907	MIR3150B	microRNA 3150b
ENSG00000245105	144571	A2M-AS1	A2M antisense RNA 1 (head to head)
ENSG00000245112	100128055	SMARCA5-AS1	SMARCA5 antisense RNA 1
ENSG00000245146	100505636	LINC01024	long intergenic non-protein coding RNA 1024
ENSG00000245149	101927612	RNF139-AS1	RNF139 antisense RNA 1 (head to head)
ENSG00000245164	100130231	LINC00861	long intergenic non-protein coding RNA 861
ENSG00000245213	101930370	LOC101930370	uncharacterized LOC101930370
ENSG00000245281	101929066	LOC101929066	uncharacterized LOC101929066
ENSG00000245293	101929595	LOC101929595	uncharacterized LOC101929595
ENSG00000245311	101928646	ARNTL2-AS1	ARNTL2 antisense RNA 1
ENSG00000245317	100996419	LOC100996419	uncharacterized LOC100996419
ENSG00000245322	256880	LOC256880	uncharacterized LOC256880
ENSG00000245384	101929468	CXXC4-AS1	CXXC4 antisense RNA 1
ENSG00000245466	101928075	LOC101928075	uncharacterized LOC101928075
ENSG00000245479	101929765	LINC01585	long intergenic non-protein coding RNA 1585
ENSG00000245498	100507283	LOC100507283	uncharacterized LOC100507283
ENSG00000245522	440028	LOC440028	uncharacterized LOC440028
ENSG00000245526	407047	MIR9-2	microRNA 9-2
ENSG00000245532	283131	NEAT1	nuclear paraspeckle assembly transcript 1 (non-protein coding)
ENSG00000245534	101928784	RORA-AS1	RORA antisense RNA 1
ENSG00000245552	101929295	LOC101929295	uncharacterized LOC101929295
ENSG00000245556	728769	SCAMP1-AS1	SCAMP1 antisense RNA 1
ENSG00000245571	101927204	LOC101927204	uncharacterized LOC101927204
ENSG00000245573	497258	BDNF-AS	BDNF antisense RNA
ENSG00000245598	100506068	DACT3-AS1	DACT3 antisense RNA 1
ENSG00000245614	100506660	DDX11-AS1	DDX11 antisense RNA 1
ENSG00000245648	101928100	LOC101928100	uncharacterized LOC101928100
ENSG00000245680	92285	ZNF585B	zinc finger protein 585B
ENSG00000245694	101927480	LOC101927480	uncharacterized LOC101927480
ENSG00000245719	101929076	LOC101929076	uncharacterized LOC101929076
ENSG00000245729	729506	LINC02226	long intergenic non-protein coding RNA 2226
ENSG00000245748	100129931	LOC100129931	uncharacterized LOC100129931
ENSG00000245812	101927740	LINC02202	long intergenic non-protein coding RNA 2202
ENSG00000245832	101928989	MIR4300HG	MIR4300 host gene
ENSG00000245848	1050	CEBPA	CCAAT/enhancer binding protein alpha
ENSG00000245849	100505648	RAD51-AS1	RAD51 antisense RNA 1 (head to head)
ENSG00000245857	100652791	GS1-24F4.2	uncharacterized LOC100652791
ENSG00000245864	109729137	MEF2C-AS2	MEF2C antisense RNA 2
ENSG00000245870	101927074	LINC00682	long intergenic non-protein coding RNA 682
ENSG00000245888	400512	FLJ21408	uncharacterized LOC400512
ENSG00000245928	101928809	LOC101928809	uncharacterized LOC101928809
ENSG00000245937	644873	LINC01184	long intergenic non-protein coding RNA 1184
ENSG00000245954	100996286	LINC02273	long intergenic non-protein coding RNA 2273
ENSG00000245958	645513	LOC645513	septin 7 pseudogene
ENSG00000245975	101928725	LOC101928725	uncharacterized LOC101928725
ENSG00000246022	100862662	ALDH1L1-AS2	ALDH1L1 antisense RNA 2
ENSG00000246067	100506233	RAB30-AS1	RAB30 antisense RNA 1 (head to head)
ENSG00000246082	152195	NUDT16P1	nudix hydrolase 16 pseudogene 1
ENSG00000246084	101929241	LINC02325	long intergenic non-protein coding RNA 2325
ENSG00000246089	100287015	LOC100287015	uncharacterized LOC100287015
ENSG00000246090	100507053	LOC100507053	uncharacterized LOC100507053
ENSG00000246130	286059	LOC286059	tumor necrosis factor receptor superfamily member 10d, decoy with truncated death domain pseudogene
ENSG00000246145	100505676	RRS1-AS1	RRS1 antisense RNA 1 (head to head)
ENSG00000246174	100289388	KCTD21-AS1	KCTD21 antisense RNA 1
ENSG00000246211	101928580	P4HA3-AS1	P4HA3 antisense RNA 1
ENSG00000246214	101929524	LOC101929524	uncharacterized LOC101929524
ENSG00000246223	388011	LINC01550	long intergenic non-protein coding RNA 1550
ENSG00000246228	727677	CASC8	cancer susceptibility 8 (non-protein coding)
ENSG00000246263	101927221	UBR5-AS1	UBR5 antisense RNA 1
ENSG00000246273	283104	SBF2-AS1	SBF2 antisense RNA 1
ENSG00000246308	101928053	LOC101928053	uncharacterized LOC101928053
ENSG00000246331	645485	LOC645485	uncharacterized LOC645485
ENSG00000246339	101929402	EXTL3-AS1	EXTL3 antisense RNA 1
ENSG00000246363	728084	LOC728084	uncharacterized LOC728084
ENSG00000246366	286190	LACTB2-AS1	LACTB2 antisense RNA 1
ENSG00000246375	105369192	LOC105369192	uncharacterized LOC105369192
ENSG00000246379	283856	LOC283856	uncharacterized LOC283856
ENSG00000246394	101928597	LOC101928597	uncharacterized LOC101928597
ENSG00000246422	100505658	LOC100505658	uncharacterized LOC100505658
ENSG00000246430	100507632	LINC00968	long intergenic non-protein coding RNA 968
ENSG00000246523	100506368	LOC100506368	uncharacterized LOC100506368
ENSG00000246528	101929759	LOC101929759	uncharacterized LOC101929759
ENSG00000246541	101929210	LOC101929210	uncharacterized LOC101929210
ENSG00000246548	283575	LINC02288	long intergenic non-protein coding RNA 2288
ENSG00000246560	105377348	LOC105377348	uncharacterized LOC105377348
ENSG00000246582	389641	LOC389641	uncharacterized LOC389641
ENSG00000246627	100652846	CACNA1C-AS1	CACNA1C antisense RNA 1
ENSG00000246640	284080	PICART1	p53-inducible cancer-associated RNA transcript 1
ENSG00000246662	642924	LINC00535	long intergenic non-protein coding RNA 535
ENSG00000246705	55766	H2AFJ	H2A histone family member J
ENSG00000246731	85001	MGC16275	uncharacterized protein MGC16275
ENSG00000246740	101928388	PLA2G4E-AS1	PLA2G4E antisense RNA 1
ENSG00000246763	503569	RGMB-AS1	RGMB antisense RNA 1
ENSG00000246777	106699570	LOC106699570	uncharacterized LOC106699570
ENSG00000246859	100505678	STARD4-AS1	STARD4 antisense RNA 1
ENSG00000246876	101927282	LOC101927282	uncharacterized LOC101927282
ENSG00000246922	390595	UBAP1L	ubiquitin associated protein 1 like
ENSG00000246985	144481	SOCS2-AS1	SOCS2 antisense RNA 1
ENSG00000247077	192111	PGAM5	PGAM family member 5, mitochondrial serine/threonine protein phosphatase
ENSG00000247081	100499183	BAALC-AS1	BAALC antisense RNA 1
ENSG00000247095	100506211	MIR210HG	MIR210 host gene
ENSG00000247131	101928002	LOC101928002	uncharacterized LOC101928002
ENSG00000247151	338739	CSTF3-AS1	CSTF3 antisense RNA 1 (head to head)
ENSG00000247157	338817	LINC01252	long intergenic non-protein coding RNA 1252
ENSG00000247193	439933	LOC439933	uncharacterized LOC439933
ENSG00000247199	102546294	LOC102546294	uncharacterized LOC102546294
ENSG00000247213	102723562	LINC01498	long intergenic non-protein coding RNA 1498
ENSG00000247228	400541	LOC400541	uncharacterized LOC400541
ENSG00000247240	440288	UBL7-AS1	UBL7 antisense RNA 1 (head to head)
ENSG00000247271	729013	ZBED5-AS1	ZBED5 antisense RNA 1
ENSG00000247315	85364	ZCCHC3	zinc finger CCHC-type containing 3
ENSG00000247363	100507250	LOC100507250	uncharacterized LOC100507250
ENSG00000247400	100289274	DNAJC3-AS1	DNAJC3 antisense RNA 1 (head to head)
ENSG00000247416	101928847	LOC101928847	uncharacterized LOC101928847
ENSG00000247498	100506314	LOC100506314	uncharacterized LOC100506314
ENSG00000247516	100505738	MIR4458HG	MIR4458 host gene
ENSG00000247572	100131067	CKMT2-AS1	CKMT2 antisense RNA 1
ENSG00000247595	100506540	SPTY2D1-AS1	SPTY2D1 antisense RNA 1
ENSG00000247596	11344	TWF2	twinfilin actin binding protein 2
ENSG00000247624	441009	CPEB2-AS1	CPEB2 antisense RNA 1 (head to head)
ENSG00000247626	92935	MARS2	methionyl-tRNA synthetase 2, mitochondrial
ENSG00000247675	100507401	LRP4-AS1	LRP4 antisense RNA 1
ENSG00000247708	100507266	STX18-AS1	STX18 antisense RNA 1 (head to head)
ENSG00000247746	158880	USP51	ubiquitin specific peptidase 51
ENSG00000247774	100233209	PCED1B-AS1	PCED1B antisense RNA 1
ENSG00000247775	644248	SNCA-AS1	SNCA antisense RNA 1
ENSG00000247796	257396	LOC257396	uncharacterized LOC257396
ENSG00000247809	644192	NR2F2-AS1	NR2F2 antisense RNA 1
ENSG00000247828	100505894	TMEM161B-AS1	TMEM161B antisense RNA 1
ENSG00000247867	283214	LOC283214	uncharacterized LOC283214
ENSG00000247950	100533182	SEC24B-AS1	SEC24B antisense RNA 1
ENSG00000247982	283663	LINC00926	long intergenic non-protein coding RNA 926
ENSG00000248008	100506668	NRAV	negative regulator of antiviral response (non-protein coding)
ENSG00000248019	285512	FAM13A-AS1	FAM13A antisense RNA 1
ENSG00000248027	100128386	LOC100128386	uncharacterized LOC100128386
ENSG00000248049	550112	UBA6-AS1	UBA6 antisense RNA 1 (head to head)
ENSG00000248050	100132813	LOC100132813	uncharacterized LOC100132813
ENSG00000248079	100507466	DPH6-AS1	DPH6 antisense RNA 1 (head to head)
ENSG00000248098	593	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
ENSG00000248099	3640	INSL3	insulin like 3
ENSG00000248107	102546228	LINC02039	long intergenic non-protein coding RNA 2039
ENSG00000248109	105378220	LOC105378220	uncharacterized LOC105378220
ENSG00000248118	285577	LINC01019	long intergenic non-protein coding RNA 1019
ENSG00000248143	105374436	LINC02383	long intergenic non-protein coding RNA 2383
ENSG00000248144	126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
ENSG00000248150	101929505	LINC02150	long intergenic non-protein coding RNA 2150
ENSG00000248167	202658	TRIM39-RPP21	TRIM39-RPP21 readthrough
ENSG00000248174	101928509	LINC02268	long intergenic non-protein coding RNA 2268
ENSG00000248197	728081	LINC00290	long intergenic non-protein coding RNA 290
ENSG00000248202	109729164	LINC02234	long intergenic non-protein coding RNA 2234
ENSG00000248210	101927849	LINC02355	long intergenic non-protein coding RNA 2355
ENSG00000248221	104472519	STX18-IT1	STX18 intronic transcript 1
ENSG00000248228	100505893	SLIT2-IT1	SLIT2 intronic transcript 1
ENSG00000248265	440101	FLJ12825	uncharacterized LOC440101
ENSG00000248275	100507602	TRIM52-AS1	TRIM52 antisense RNA 1 (head to head)
ENSG00000248278	105371814	LOC105371814	uncharacterized LOC105371814
ENSG00000248279	340113	LINC02120	long intergenic non-protein coding RNA 2120
ENSG00000248282	109729154	MTCYBP44	mitochondrially encoded cytochrome b pseudogene 44
ENSG00000248307	641365	LINC00616	long intergenic non-protein coding RNA 616
ENSG00000248309	101929423	MEF2C-AS1	MEF2C antisense RNA 1
ENSG00000248318	101927543	LOC101927543	uncharacterized LOC101927543
ENSG00000248319	100506085	LINC02275	long intergenic non-protein coding RNA 2275
ENSG00000248323	100505994	LUCAT1	lung cancer associated transcript 1 (non-protein coding)
ENSG00000248329	100506013	APELA	apelin receptor early endogenous ligand
ENSG00000248330	100507528	LINC00613	long intergenic non-protein coding RNA 613
ENSG00000248332	101927917	TUB-AS1	TUB antisense RNA 1
ENSG00000248333	984	CDK11B	cyclin dependent kinase 11B
ENSG00000248339	101928288	LOC101928288	uncharacterized LOC101928288
ENSG00000248360	201853	LINC00504	long intergenic non-protein coding RNA 504
ENSG00000248371	102477328	LINC02056	long intergenic non-protein coding RNA 2056
ENSG00000248383	56135	PCDHAC1	protocadherin alpha subfamily C, 1
ENSG00000248385	441864	TARM1	T-cell-interacting, activating receptor on myeloid cells 1
ENSG00000248405	23779	ARHGAP8	Rho GTPase activating protein 8
ENSG00000248441	400456	LINC01197	long intergenic non-protein coding RNA 1197
ENSG00000248445	101927233	SEMA6A-AS1	SEMA6A antisense RNA 1
ENSG00000248449	56120	PCDHGB8P	protocadherin gamma subfamily B, 8 pseudogene
ENSG00000248455	101929544	LINC02217	long intergenic non-protein coding RNA 2217
ENSG00000248456	105377439	LOC105377439	uncharacterized LOC105377439
ENSG00000248461	101929745	LINC02119	long intergenic non-protein coding RNA 2119
ENSG00000248464	101927075	FGF10-AS1	FGF10 antisense RNA 1
ENSG00000248469	100996385	LOC100996385	uncharacterized LOC100996385
ENSG00000248472	727856	DDX11L16	DEAD/H-box helicase 11 like 16
ENSG00000248473	102577426	LINC01962	long intergenic non-protein coding RNA 1962
ENSG00000248483	134187	POU5F2	POU domain class 5, transcription factor 2
ENSG00000248485	654790	PCP4L1	Purkinje cell protein 4 like 1
ENSG00000248487	25864	ABHD14A	abhydrolase domain containing 14A
ENSG00000248492	594840	ZFAT-AS1	ZFAT antisense RNA 1
ENSG00000248505	101928851	LINC02380	long intergenic non-protein coding RNA 2380
ENSG00000248508	100131089	SRP14-AS1	SRP14 antisense RNA1 (head to head)
ENSG00000248522	100133234	SBF1P1	SET binding factor 1 pseudogene 1
ENSG00000248529	101928651	LOC101928651	uncharacterized LOC101928651
ENSG00000248538	101929128	LOC101929128	uncharacterized LOC101929128
ENSG00000248540	283731	LOC283731	uncharacterized LOC283731
ENSG00000248550	100309464	OTX2-AS1	OTX2 antisense RNA 1 (head to head)
ENSG00000248572	100506475	EGFLAM-AS2	EGFLAM antisense RNA 2
ENSG00000248587	100861519	GDNF-AS1	GDNF antisense RNA 1 (head to head)
ENSG00000248592	100526772	TMEM110-MUSTN1	TMEM110-MUSTN1 readthrough
ENSG00000248593	171220	DSTNP2	destrin, actin depolymerizing factor pseudogene 2
ENSG00000248596	643201	LOC643201	centrosomal protein 192kDa pseudogene
ENSG00000248599	441374	FLJ42969	uncharacterized LOC441374
ENSG00000248636	105370027	LOC105370027	uncharacterized LOC105370027
ENSG00000248643	100526737	RBM14-RBM4	RBM14-RBM4 readthrough
ENSG00000248668	100874002	OXCT1-AS1	OXCT1 antisense RNA 1
ENSG00000248671	285407	ALG1L9P	asparagine-linked glycosylation 1-like 9, pseudogene
ENSG00000248672	100526664	LY75-CD302	LY75-CD302 readthrough
ENSG00000248673	104310351	LINC01331	long intergenic non-protein coding RNA 1331
ENSG00000248677	100505625	LINC02102	long intergenic non-protein coding RNA 2102
ENSG00000248698	152742	LINC01085	long intergenic non-protein coding RNA 1085
ENSG00000248703	107161159	LINC02415	long intergenic non-protein coding RNA 2415
ENSG00000248712	283152	CCDC153	coiled-coil domain containing 153
ENSG00000248713	285556	LOC285556	uncharacterized LOC285556
ENSG00000248714	102724596	LOC102724596	uncharacterized LOC102724596
ENSG00000248724	348808	NPHP3-AS1	NPHP3 antisense RNA 1
ENSG00000248727	102467147	LINC01948	long intergenic non-protein coding RNA 1948
ENSG00000248730	100852408	EGFLAM-AS4	EGFLAM antisense RNA 4
ENSG00000248738	101929237	LOC101929237	uncharacterized LOC101929237
ENSG00000248740	101929448	LINC02428	long intergenic non-protein coding RNA 2428
ENSG00000248746	89	ACTN3	actinin alpha 3 (gene/pseudogene)
ENSG00000248757	102467212	LINC02115	long intergenic non-protein coding RNA 2115
ENSG00000248765	109729151	MTCYBP37	mitochondrially encoded cytochrome b pseudogene 37
ENSG00000248771	100505989	LINC01207	long intergenic non-protein coding RNA 1207
